@relation '.\\uk-2007-05.obvious_features.csv'

@attribute number_of_pages numeric
@attribute length_of_hostname numeric
@attribute class {spam,nonspam}

@data
36,19,nonspam
7,21,nonspam
10518,20,nonspam
19,21,nonspam
32,20,nonspam
1,24,nonspam
1,19,nonspam
1,22,nonspam
1,18,nonspam
6,16,nonspam
17,27,nonspam
8,31,nonspam
25,30,nonspam
304,14,nonspam
12,19,nonspam
328,19,nonspam
12,20,nonspam
2,25,nonspam
6096,16,nonspam
30,13,nonspam
24,20,nonspam
1,14,nonspam
2592,23,nonspam
7,25,nonspam
34,19,nonspam
1,30,nonspam
956,26,nonspam
6593,21,nonspam
927,18,nonspam
90,29,nonspam
134,22,nonspam
1,19,nonspam
3,22,nonspam
1,26,spam
12,33,nonspam
1,23,nonspam
31,20,nonspam
13,21,nonspam
1,25,spam
31,24,nonspam
10,21,nonspam
10,16,nonspam
156,28,nonspam
6,15,spam
26,27,nonspam
12,19,nonspam
188,19,nonspam
26,19,nonspam
3,25,nonspam
3,23,nonspam
1,16,nonspam
20,31,nonspam
43,19,nonspam
4,27,nonspam
85,14,nonspam
10,16,nonspam
652,21,nonspam
2,19,nonspam
11,41,nonspam
8,33,nonspam
553,28,nonspam
156,18,nonspam
37,24,nonspam
164,16,nonspam
17,25,nonspam
9,34,nonspam
84,24,nonspam
28,24,nonspam
58,14,nonspam
28,14,nonspam
25,24,nonspam
1,28,spam
21,23,nonspam
1,16,nonspam
68,19,nonspam
8,26,nonspam
404,21,nonspam
26,29,spam
12,30,nonspam
5,21,nonspam
14,18,nonspam
76,15,nonspam
21,30,nonspam
47,16,nonspam
1,27,nonspam
33,31,nonspam
1,24,nonspam
29,25,nonspam
618,27,nonspam
104,29,nonspam
1,21,nonspam
1,28,spam
19,23,nonspam
9,20,nonspam
1,25,nonspam
1,31,nonspam
7,15,nonspam
5,16,nonspam
132,28,nonspam
1,19,nonspam
11,32,nonspam
1,29,nonspam
707,29,nonspam
36,23,nonspam
1,16,nonspam
334,16,nonspam
28,28,nonspam
17,20,nonspam
11,25,nonspam
80,30,nonspam
25630,20,nonspam
1,31,nonspam
348,16,nonspam
450,16,nonspam
9,21,nonspam
92,15,nonspam
16,22,nonspam
23,25,nonspam
3,20,nonspam
25,19,nonspam
81,15,nonspam
18,20,nonspam
10,24,nonspam
226,32,nonspam
22,17,nonspam
48,21,nonspam
37,23,nonspam
8,23,nonspam
1,22,spam
11,21,nonspam
26,34,nonspam
5138,16,nonspam
1,25,nonspam
4,13,nonspam
1,25,nonspam
41,22,nonspam
1,21,nonspam
17,20,nonspam
40,25,nonspam
774,19,nonspam
22,27,nonspam
1218,18,nonspam
1,23,spam
20,26,nonspam
50,25,nonspam
18,30,nonspam
354,26,nonspam
36,22,nonspam
1,17,nonspam
3,24,nonspam
10,27,nonspam
1,26,nonspam
1,23,nonspam
60,18,nonspam
1,25,nonspam
16,22,nonspam
26,23,nonspam
26,21,nonspam
3,30,nonspam
16,22,nonspam
1,33,nonspam
1,23,nonspam
12,23,nonspam
1,18,nonspam
8,19,nonspam
111,17,nonspam
278,17,nonspam
24,23,nonspam
1,26,spam
45,24,nonspam
9,34,nonspam
51,19,nonspam
1,17,nonspam
274,15,nonspam
41,24,nonspam
2,27,nonspam
14,24,nonspam
239,21,nonspam
552,22,nonspam
1,20,nonspam
31,17,nonspam
1,22,nonspam
33,28,nonspam
1,23,nonspam
13,28,nonspam
618,25,nonspam
1,20,nonspam
4,14,nonspam
2,17,nonspam
2,31,nonspam
104,19,nonspam
6,19,nonspam
10,24,nonspam
45,22,nonspam
265,22,nonspam
15,23,nonspam
8,23,nonspam
2,21,nonspam
1,27,nonspam
6641,23,nonspam
54,26,nonspam
17,43,nonspam
228,29,nonspam
1707,22,nonspam
5,21,nonspam
131,27,nonspam
621,18,nonspam
2,25,nonspam
1,24,nonspam
4,20,nonspam
332,15,nonspam
56,17,nonspam
27915,20,nonspam
99,26,nonspam
38,42,nonspam
34,26,nonspam
3,19,nonspam
26,20,nonspam
8,26,nonspam
25,31,nonspam
86,15,nonspam
2,26,nonspam
32,19,nonspam
17,26,nonspam
22052,22,nonspam
34,25,nonspam
20,27,nonspam
77,19,nonspam
1,27,spam
351,15,nonspam
1,22,spam
41,16,nonspam
34,15,nonspam
10,16,nonspam
19,21,nonspam
188,16,nonspam
1,26,nonspam
12,29,nonspam
39498,24,nonspam
19,25,nonspam
3,21,nonspam
13,19,nonspam
1,37,spam
13,24,nonspam
1,16,nonspam
8095,24,nonspam
13,22,nonspam
5,19,nonspam
21,25,nonspam
22,19,nonspam
8,20,nonspam
12656,14,spam
41,29,nonspam
9,19,nonspam
7426,21,nonspam
92,25,nonspam
1,19,nonspam
4,14,nonspam
280,13,nonspam
11,25,nonspam
7,14,nonspam
2207,30,nonspam
16,23,nonspam
16,28,nonspam
52,21,nonspam
50,21,nonspam
75,19,nonspam
2984,26,nonspam
42,30,nonspam
43,22,nonspam
1,23,nonspam
192,15,nonspam
2,21,nonspam
36,16,nonspam
204,21,nonspam
64,36,nonspam
9,18,nonspam
1,20,nonspam
26,34,nonspam
1,22,nonspam
15,24,nonspam
185,41,nonspam
38,32,nonspam
9,19,nonspam
1,23,nonspam
164,19,nonspam
1,19,nonspam
10,29,nonspam
50,16,nonspam
6,22,nonspam
1,18,spam
17,19,nonspam
386,20,nonspam
87,21,nonspam
3805,19,nonspam
7,21,nonspam
5,23,nonspam
16,28,nonspam
7,25,nonspam
165,29,nonspam
4,29,nonspam
188,21,nonspam
3,20,nonspam
322,14,nonspam
29,24,nonspam
1,17,nonspam
124,24,nonspam
1,18,nonspam
65,18,nonspam
64,16,nonspam
22,26,nonspam
1,32,nonspam
8,33,nonspam
2070,18,spam
292,25,nonspam
3,16,nonspam
7,44,nonspam
31,27,nonspam
19,22,nonspam
125,16,nonspam
72,21,nonspam
81,16,nonspam
6,28,nonspam
1,38,nonspam
6,22,nonspam
15969,25,nonspam
1087,21,nonspam
64,32,nonspam
29,26,nonspam
46,26,nonspam
15,23,nonspam
12,30,nonspam
4,35,nonspam
3359,34,nonspam
1,30,nonspam
68,24,nonspam
12,27,nonspam
62,21,spam
3603,31,nonspam
1056,25,nonspam
1,26,nonspam
1,21,nonspam
4,31,nonspam
71,23,nonspam
96,26,nonspam
322,15,nonspam
12,22,nonspam
48,22,nonspam
2,27,nonspam
1,23,spam
30708,17,nonspam
34,26,nonspam
30,24,nonspam
362,28,nonspam
1766,18,nonspam
23,20,nonspam
30,27,nonspam
117,23,nonspam
18,26,nonspam
488,16,nonspam
27,35,nonspam
210,14,nonspam
15,35,nonspam
21,27,nonspam
26,31,nonspam
486,31,nonspam
1,37,nonspam
8,27,nonspam
1,22,nonspam
474,21,nonspam
6,22,nonspam
14,21,nonspam
33,19,nonspam
25,28,nonspam
11,20,nonspam
101,17,nonspam
2007,20,nonspam
6,22,nonspam
120,31,nonspam
8,22,nonspam
76,37,spam
42213,21,nonspam
4439,22,nonspam
29,24,nonspam
78,26,nonspam
345,25,nonspam
127,22,nonspam
67,28,nonspam
13,23,nonspam
6,26,nonspam
40,20,nonspam
5,18,nonspam
80,21,nonspam
14,28,nonspam
229,24,nonspam
71,27,nonspam
107,16,nonspam
16,23,nonspam
95,25,nonspam
1,24,nonspam
43,25,nonspam
87,21,nonspam
18,17,nonspam
8077,20,nonspam
4,24,nonspam
27,24,nonspam
27,18,nonspam
153,20,nonspam
8,22,nonspam
1,25,nonspam
1,27,nonspam
68,37,nonspam
4,19,nonspam
5,27,nonspam
6,28,nonspam
4,16,nonspam
25,22,nonspam
14,27,nonspam
8,27,nonspam
108,24,nonspam
1,25,nonspam
29,17,nonspam
7,22,nonspam
21,17,nonspam
12,24,nonspam
1,27,nonspam
5,24,nonspam
19,20,nonspam
16,22,nonspam
32,19,nonspam
1,14,nonspam
32,21,nonspam
62,20,nonspam
10,28,nonspam
136,15,nonspam
26,15,nonspam
13,15,nonspam
42,16,nonspam
16,25,nonspam
8269,24,nonspam
55,27,nonspam
1,24,nonspam
231,18,nonspam
17350,25,spam
54,18,nonspam
49,23,nonspam
36,19,nonspam
1,19,nonspam
1166,19,nonspam
31,21,nonspam
49,22,nonspam
1101,21,nonspam
89,32,nonspam
38122,24,nonspam
8,17,nonspam
28,26,nonspam
206,16,nonspam
1,20,nonspam
3563,18,nonspam
1,21,nonspam
4,18,nonspam
117,21,nonspam
1,31,nonspam
26,26,nonspam
12,31,nonspam
33,21,nonspam
1,28,nonspam
99,21,nonspam
192,15,nonspam
69,21,nonspam
3321,32,nonspam
24,28,nonspam
17,16,nonspam
9010,18,nonspam
60,20,nonspam
6,31,nonspam
2,28,nonspam
1,20,nonspam
3,14,nonspam
28,22,nonspam
8,26,nonspam
9,20,nonspam
18,24,nonspam
1,14,nonspam
16,27,nonspam
1,18,nonspam
26,22,nonspam
365,19,nonspam
17,31,nonspam
1,25,nonspam
2505,22,nonspam
187,23,nonspam
381,19,nonspam
59,17,nonspam
5,25,nonspam
30,21,nonspam
1653,20,nonspam
635,20,nonspam
26,19,nonspam
3071,25,nonspam
3947,26,nonspam
69,19,nonspam
7,23,nonspam
8,24,nonspam
237,25,spam
1,29,nonspam
43,32,nonspam
1,27,nonspam
7,21,nonspam
26,13,nonspam
5,17,nonspam
12,16,nonspam
7,28,nonspam
15,40,nonspam
1,25,nonspam
1,33,nonspam
955,30,nonspam
12,22,nonspam
239,24,nonspam
7,28,nonspam
8,21,nonspam
596,26,nonspam
9,20,nonspam
51,17,nonspam
1031,22,nonspam
1,20,spam
56,21,nonspam
29,33,nonspam
48,21,nonspam
911,24,nonspam
170,23,nonspam
156,21,nonspam
6,26,nonspam
43,21,nonspam
1,22,nonspam
6,23,nonspam
4,30,nonspam
44,27,nonspam
8,24,nonspam
10,21,nonspam
359,23,nonspam
25,27,nonspam
155,16,nonspam
83,26,nonspam
1275,22,nonspam
22,20,nonspam
57,31,spam
19,22,nonspam
35,26,nonspam
2609,21,nonspam
13,25,nonspam
756,17,nonspam
540,27,nonspam
24,25,nonspam
1,26,nonspam
2,36,nonspam
951,31,nonspam
1,17,nonspam
1,23,nonspam
54,24,nonspam
5,18,nonspam
3,21,nonspam
13,31,nonspam
8,20,nonspam
1,28,nonspam
1,23,nonspam
382,23,nonspam
62,26,nonspam
7,30,nonspam
7,29,nonspam
1,18,spam
1,20,nonspam
9,37,nonspam
1,21,spam
1,26,nonspam
7,26,nonspam
1275,27,nonspam
597,28,spam
762,25,nonspam
79,18,nonspam
1,20,nonspam
1,30,nonspam
8,27,nonspam
1,23,nonspam
365,25,nonspam
1,35,spam
1,20,nonspam
12,24,nonspam
36,23,nonspam
911,20,nonspam
3,19,nonspam
28,21,nonspam
39,26,nonspam
1,19,nonspam
28,21,nonspam
1,19,nonspam
6,22,nonspam
56,25,nonspam
106,21,nonspam
36,15,nonspam
21,20,nonspam
15,16,nonspam
20,27,nonspam
7,22,nonspam
35,19,nonspam
10,27,nonspam
14,30,nonspam
12,19,spam
10942,16,nonspam
111,17,nonspam
87,23,nonspam
4,20,nonspam
1,17,nonspam
1,20,spam
15,13,nonspam
1,22,nonspam
231,23,nonspam
1,17,nonspam
1165,21,nonspam
449,21,nonspam
30,27,spam
1,18,nonspam
1,18,nonspam
17,34,nonspam
5,32,nonspam
108,25,nonspam
16,28,nonspam
345,24,nonspam
4,26,nonspam
7,27,nonspam
63,32,nonspam
3,24,nonspam
1,19,nonspam
1,18,nonspam
5,23,nonspam
1517,24,nonspam
183,26,nonspam
3789,18,nonspam
23,21,nonspam
35,19,nonspam
59,24,nonspam
63,27,nonspam
1,25,spam
156,27,spam
13,19,nonspam
104,18,nonspam
7,15,nonspam
11,23,nonspam
1,23,nonspam
58,20,nonspam
13,33,nonspam
317,19,nonspam
8,27,nonspam
1,19,nonspam
17,20,nonspam
67,18,nonspam
37,23,nonspam
9,16,nonspam
4,20,nonspam
1,25,nonspam
906,29,nonspam
355,21,nonspam
1,21,spam
390,23,nonspam
1,14,nonspam
274,14,nonspam
21,21,nonspam
30,34,nonspam
3,29,nonspam
1,21,nonspam
58,22,nonspam
6,15,nonspam
71,33,nonspam
13,27,nonspam
14,20,spam
7,21,nonspam
9,23,spam
22,15,nonspam
20,16,nonspam
1235,15,nonspam
17,15,nonspam
122,15,nonspam
7,23,nonspam
388,20,nonspam
1383,24,nonspam
6,16,nonspam
47,21,nonspam
15,26,nonspam
26,27,nonspam
43,18,nonspam
33,22,nonspam
11,24,nonspam
1,14,nonspam
503,16,nonspam
10,26,nonspam
28,19,nonspam
6262,27,nonspam
1,25,nonspam
1867,26,nonspam
1389,33,nonspam
22,18,nonspam
79,31,nonspam
42,17,spam
1,25,nonspam
54,24,nonspam
17,31,nonspam
1,26,nonspam
67,26,nonspam
401,24,nonspam
47,24,nonspam
36,17,nonspam
25,26,nonspam
2722,29,nonspam
2,13,nonspam
1,30,nonspam
10,20,nonspam
19,32,nonspam
32,16,nonspam
1,21,nonspam
8,17,nonspam
31,21,nonspam
129,22,nonspam
22,22,nonspam
7,18,nonspam
14,18,nonspam
6,14,nonspam
24,27,nonspam
1,23,nonspam
2,21,nonspam
2,20,nonspam
4,19,nonspam
5,21,nonspam
10,19,nonspam
40,19,nonspam
9,19,nonspam
129,35,nonspam
30,24,nonspam
1,21,nonspam
8444,31,nonspam
208,23,nonspam
10,22,nonspam
1209,23,nonspam
3,17,nonspam
36,20,nonspam
118,15,nonspam
381,20,nonspam
16622,20,nonspam
3,23,nonspam
215,21,nonspam
46,18,nonspam
9,30,nonspam
168,14,nonspam
1,25,nonspam
8,26,nonspam
89,24,nonspam
3,33,nonspam
18,16,nonspam
1,23,nonspam
15,28,nonspam
828,18,nonspam
4,21,nonspam
1,21,nonspam
48,15,nonspam
1,28,nonspam
188,20,nonspam
9,23,nonspam
10,22,nonspam
328,24,nonspam
1,21,nonspam
8,24,nonspam
1,22,nonspam
1223,15,nonspam
53,28,nonspam
5,26,nonspam
3,17,nonspam
2,14,nonspam
30,15,nonspam
11,19,nonspam
106,23,nonspam
6,19,nonspam
76,22,nonspam
1,29,nonspam
181,16,nonspam
26,23,nonspam
902,26,nonspam
16,22,nonspam
2,19,nonspam
52,21,nonspam
21,21,nonspam
14,29,nonspam
16,29,nonspam
1260,26,nonspam
8,26,nonspam
1069,25,nonspam
1,44,nonspam
3395,22,nonspam
107,29,nonspam
27,24,nonspam
6,31,nonspam
3,17,nonspam
75,28,nonspam
4056,29,nonspam
12,15,nonspam
1,18,nonspam
22,31,nonspam
13,31,nonspam
1,20,nonspam
60,18,nonspam
1,24,nonspam
4,30,nonspam
124,19,nonspam
28,25,nonspam
1,23,nonspam
21,21,spam
19,22,nonspam
9,26,nonspam
34,23,nonspam
142,23,nonspam
174,20,nonspam
1,25,nonspam
1797,20,nonspam
8,21,nonspam
9,21,nonspam
39,26,nonspam
4,28,nonspam
87,23,nonspam
5,30,nonspam
20,26,nonspam
96,29,nonspam
30,23,nonspam
30172,26,nonspam
40,30,nonspam
13,28,nonspam
1,28,nonspam
44,28,nonspam
17,27,nonspam
13322,22,nonspam
6,22,nonspam
100,17,nonspam
1,25,nonspam
7,23,nonspam
362,20,nonspam
106,28,nonspam
5488,17,nonspam
238,26,spam
1,26,nonspam
6,18,nonspam
304,25,nonspam
1,29,nonspam
8,18,nonspam
12,23,nonspam
12,32,nonspam
1,24,nonspam
22,32,nonspam
32,21,nonspam
28,35,nonspam
1,20,nonspam
1,26,nonspam
31,19,nonspam
21,27,nonspam
40,21,nonspam
199,15,nonspam
2,17,nonspam
20,16,nonspam
14,23,nonspam
77,16,nonspam
26,26,nonspam
1,16,nonspam
5,19,nonspam
9,29,nonspam
10,35,nonspam
8,26,nonspam
15,25,nonspam
165,24,nonspam
6,26,nonspam
61,14,nonspam
61,13,nonspam
161,16,nonspam
329,27,nonspam
11,18,nonspam
1,25,nonspam
44,22,nonspam
18,23,nonspam
20,26,nonspam
15948,30,nonspam
21,25,nonspam
3,22,nonspam
21,22,nonspam
125,28,nonspam
8,23,nonspam
17,20,nonspam
7,21,nonspam
9901,17,nonspam
6,22,nonspam
29,22,nonspam
1654,21,nonspam
23,23,nonspam
63,14,nonspam
2328,16,nonspam
8973,29,nonspam
4525,23,nonspam
7917,21,nonspam
